periodName,value,state
April,12.9,Alabama
March,3,Alabama
February,2.7,Alabama
January,2.7,Alabama
April,12.6,Arizona
March,6.1,Arizona
February,4.5,Arizona
January,4.5,Arizona
April,10.2,Arkansas
March,5,Arkansas
February,3.5,Arkansas
January,3.5,Arkansas
April,15.5,California
March,5.5,California
February,3.9,California
January,3.9,California
April,11.3,Colorado
March,5.2,Colorado
February,2.5,Colorado
January,2.5,Colorado
April,7.9,Connecticut
March,3.4,Connecticut
February,3.8,Connecticut
January,3.7,Connecticut
April,14.3,Delaware
March,5,Delaware
February,3.9,Delaware
January,4,Delaware
April,12.9,Florida
March,4.4,Florida
February,2.8,Florida
January,2.8,Florida
April,11.9,Georgia
March,4.6,Georgia
February,3.1,Georgia
January,3.1,Georgia
April,11.5,Idaho
March,2.5,Idaho
February,2.7,Idaho
January,2.8,Idaho
April,16.4,Illinois
March,4.2,Illinois
February,3.4,Illinois
January,3.5,Illinois
April,16.9,Indiana
March,3,Indiana
February,3.1,Indiana
January,3.1,Indiana
April,10.2,Iowa
March,3.3,Iowa
February,2.8,Iowa
January,2.8,Iowa
April,11.2,Kansas
March,2.8,Kansas
February,3.1,Kansas
January,3.1,Kansas
April,15.4,Kentucky
March,5.2,Kentucky
February,4.2,Kentucky
January,4.3,Kentucky
April,14.5,Louisiana
March,6.7,Louisiana
February,5.2,Louisiana
January,5.3,Louisiana
April,10.6,Maine
March,3,Maine
February,3.2,Maine
January,3.1,Maine
April,9.9,Maryland
March,3.3,Maryland
February,3.3,Maryland
January,3.3,Maryland
April,15.1,Massachusetts
March,2.8,Massachusetts
February,2.8,Massachusetts
January,2.8,Massachusetts
April,22.7,Michigan
March,4.3,Michigan
February,3.6,Michigan
January,3.8,Michigan
April,8.1,Minnesota
March,2.9,Minnesota
February,3.1,Minnesota
January,3.2,Minnesota
April,15.4,Mississippi
March,5.1,Mississippi
February,5.4,Mississippi
January,5.5,Mississippi
April,9.7,Missouri
March,3.9,Missouri
February,3.5,Missouri
January,3.5,Missouri
April,11.3,Montana
March,3.6,Montana
February,3.5,Montana
January,3.5,Montana
April,8.3,Nebraska
March,4,Nebraska
February,2.9,Nebraska
January,2.9,Nebraska
April,28.2,Nevada
March,6.9,Nevada
February,3.6,Nevada
January,3.6,Nevada
April,12.9,New_Hampshire
March,3,New_Hampshire
February,2.7,New_Hampshire
January,2.7,New_Hampshire
April,15.3,New_Jersey
March,3.7,New_Jersey
February,3.8,New_Jersey
January,3.8,New_Jersey
April,11.3,New_Mexico
March,6.3,New_Mexico
February,4.8,New_Mexico
January,4.8,New_Mexico
April,14.5,New_York
March,4.1,New_York
February,3.7,New_York
January,3.8,New_York
April,12.2,North_Carolina
March,4.3,North_Carolina
February,3.6,North_Carolina
January,3.6,North_Carolina
April,8.5,North_Dakota
March,2,North_Dakota
February,2.2,North_Dakota
January,2.3,North_Dakota
April,16.8,Ohio
March,5.8,Ohio
February,4.1,Ohio
January,4.1,Ohio
April,13.7,Oklahoma
March,2.9,Oklahoma
February,3.2,Oklahoma
January,3.3,Oklahoma
April,14.2,Oregon
March,3.5,Oregon
February,3.3,Oregon
January,3.3,Oregon
April,15.1,Pennsylvania
March,5.8,Pennsylvania
February,4.7,Pennsylvania
January,4.7,Pennsylvania
April,17,Rhode_Island
March,4.7,Rhode_Island
February,3.4,Rhode_Island
January,3.4,Rhode_Island
April,12.1,South_Carolina
March,3.2,South_Carolina
February,2.5,South_Carolina
January,2.4,South_Carolina
April,10.2,South_Dakota
March,3.1,South_Dakota
February,3.3,South_Dakota
January,3.4,South_Dakota
April,14.7,Tennessee
March,3.3,Tennessee
February,3.4,Tennessee
January,3.3,Tennessee
April,12.8,Texas
March,5.1,Texas
February,3.5,Texas
January,3.5,Texas
April,9.7,Utah
March,3.8,Utah
February,2.5,Utah
January,2.5,Utah
April,15.6,Vermont
March,3.1,Vermont
February,2.4,Vermont
January,2.4,Vermont
April,10.6,Virginia
March,3.3,Virginia
February,2.6,Virginia
January,2.7,Virginia
April,15.4,Washington
March,5.1,Washington
February,3.8,Washington
January,3.9,Washington
April,15.2,West_Virginia
March,6,West_Virginia
February,4.9,West_Virginia
January,5,West_Virginia
April,14.1,Wisconsin
March,3.1,Wisconsin
February,3.5,Wisconsin
January,3.5,Wisconsin
April,9.2,Wyoming
March,3.8,Wyoming
February,3.7,Wyoming
January,3.7,Wyoming
April,22.3,Hawaii
March,2.4,Hawaii
February,2.7,Hawaii
January,2.7,Hawaii
April,12.9,Alaska
March,5.2,Alaska
February,5.8,Alaska
January,6,Alaska
April,11.1,District of Columbia
March,6,District of Columbia
February,5.1,District of Columbia
January,5.2,District of Columbia
