periodName,value,state
April,12.9,Alabama
April,12.9,Alaska
April,12.6,Arizona
April,10.2,Arkansas
April,15.5,California
April,11.3,Colorado
April,7.9,Connecticut
April,14.3,Delaware
April,11.1,District of Columbia
April,12.9,Florida
April,11.9,Georgia
April,22.3,Hawaii
April,11.5,Idaho
April,16.4,Illinois
April,16.9,Indiana
April,10.2,Iowa
April,11.2,Kansas
April,15.4,Kentucky
April,14.5,Louisiana
April,10.6,Maine
April,9.9,Maryland
April,15.1,Massachusetts
April,22.7,Michigan
April,8.1,Minnesota
April,15.4,Mississippi
April,9.7,Missouri
April,11.3,Montana
April,8.3,Nebraska
April,28.2,Nevada
April,12.9,New_Hampshire
April,15.3,New_Jersey
April,11.3,New_Mexico
April,14.5,New_York
April,12.2,North_Carolina
April,8.5,North_Dakota
April,16.8,Ohio
April,13.7,Oklahoma
April,14.2,Oregon
April,15.1,Pennsylvania
April,17,Rhode_Island
April,12.1,South_Carolina
April,10.2,South_Dakota
April,14.7,Tennessee
April,12.8,Texas
April,9.7,Utah
April,15.6,Vermont
April,10.6,Virginia
April,15.4,Washington
April,15.2,West_Virginia
April,14.1,Wisconsin
April,9.2,Wyoming
February,2.7,Alabama
February,5.8,Alaska
February,4.5,Arizona
February,3.5,Arkansas
February,3.9,California
February,2.5,Colorado
February,3.8,Connecticut
February,3.9,Delaware
February,5.1,District of Columbia
February,2.8,Florida
February,3.1,Georgia
February,2.7,Hawaii
February,2.7,Idaho
February,3.4,Illinois
February,3.1,Indiana
February,2.8,Iowa
February,3.1,Kansas
February,4.2,Kentucky
February,5.2,Louisiana
February,3.2,Maine
February,3.3,Maryland
February,2.8,Massachusetts
February,3.6,Michigan
February,3.1,Minnesota
February,5.4,Mississippi
February,3.5,Missouri
February,3.5,Montana
February,2.9,Nebraska
February,3.6,Nevada
February,2.7,New_Hampshire
February,3.8,New_Jersey
February,4.8,New_Mexico
February,3.7,New_York
February,3.6,North_Carolina
February,2.2,North_Dakota
February,4.1,Ohio
February,3.2,Oklahoma
February,3.3,Oregon
February,4.7,Pennsylvania
February,3.4,Rhode_Island
February,2.5,South_Carolina
February,3.3,South_Dakota
February,3.4,Tennessee
February,3.5,Texas
February,2.5,Utah
February,2.4,Vermont
February,2.6,Virginia
February,3.8,Washington
February,4.9,West_Virginia
February,3.5,Wisconsin
February,3.7,Wyoming
January,2.7,Alabama
January,6,Alaska
January,4.5,Arizona
January,3.5,Arkansas
January,3.9,California
January,2.5,Colorado
January,3.7,Connecticut
January,4,Delaware
January,5.2,District of Columbia
January,2.8,Florida
January,3.1,Georgia
January,2.7,Hawaii
January,2.8,Idaho
January,3.5,Illinois
January,3.1,Indiana
January,2.8,Iowa
January,3.1,Kansas
January,4.3,Kentucky
January,5.3,Louisiana
January,3.1,Maine
January,3.3,Maryland
January,2.8,Massachusetts
January,3.8,Michigan
January,3.2,Minnesota
